DATE,EMPUKQ,GBMT10UK,NGDPMPUKQ,RGDPMRPUKQ,SPPUKQ,euro_gdp_percapita,euro_Labour_productivity,eur_yield,euro_Credit_GDP,CPI_UK,Euro_outputgap,Unemplyment_EURO,FX,Bank_conc,longterm_interest,UK_house_index,deposit_rate,marginal_lending,refinacning _rate,Europe and UK Commercial Banking,Europe and UK Corporate Items & Others,Europe and UK Private Banking / Wealth Management,Europe and UK Retail Banking
1/1/02,27797,5.05,287487,0.42,2511.03,4770,93.565,3.568,130.8,84.37601624,1.0205,8.4875,1.43,36.0102125,5.146666667,42.45333333,2.25,4.25,3.25,179165257,4661689.19,48768071.4,52768049.03
1/4/02,27933,5.22,290596,0.73,2451.46,4960,93.962,3.817,131.5,84.70495008,0.795,8.55,1.46,36.166965,5.283333333,45.26666667,2.25,4.25,3.25,38181276.77,44475372.12,29147271.57,42316530.86
1/7/02,27935,4.74,295078,0.76,2011.14,4940,94.359,3.344,131.5,84.99015067,0.5695,8.6125,1.55,36.3237175,4.786666667,48.28333333,2.25,4.25,3.25,138655295,2282352.4,16951353.98,42439751.02
1/10/02,28110,4.61,299491,0.87,1924.37,5200,94.568,2.890,132.7,85.35459442,0.344,8.675,1.57,36.48047,4.566666667,50.06333333,2.108695652,4.108695652,3.108695652,76446860.79,126607903.4,62160652.66,210960651.4
1/1/03,28099,4.31,304228,0.82,1776.83,4880,94.357,2.420,132.6,85.66708157,0.08375,8.7855,1.6,35.819775,4.143333333,51.23333333,1.680555556,3.680555556,2.680555556,159143356.8,14748461.9,62899315.13,75680632.37
1/4/03,28226,4.28,307819,0.91,1931.81,5050,94.22,2.120,133.8,85.83715532,-0.1765,8.896,1.62,35.15908,3.97,51.92,1.362637363,3.362637363,2.362637363,108547272.5,6181634.63,58944619.48,85720082.36
1/7/03,28256,4.57,312341,1,2055.03,5060,94.803,2.126,134.2,86.14067155,-0.43675,9.0065,1.61,34.498385,4.166666667,52.90666667,1,3,2,257701898.3,11285839.12,22657358.51,59305661.06
1/10/03,28304,4.93,318061,0.83,2148.24,5340,95.318,2.272,135.2,86.46212962,-0.697,9.117,1.71,33.83769,4.366666667,53.54666667,1,3,2,232734171.8,14475224.82,38012339.31,144728229.8
1/1/04,28459,4.74,320320,0.56,2219.12,5070,96.047,2.027,135.1,86.79181104,-0.58825,9.17325,1.84,42.42078,4.15,54.61,1,3,2,220818115.2,6202027.84,41869747.19,230833514.2
1/4/04,28470,5.04,325462,0.47,2230.44,5280,96.398,2.202,136.1,87.00711319,-0.4795,9.2295,1.81,51.00387,4.33,56.54333333,1,3,2,110993039.3,8468047.7,40003078.02,92925759.61
