 Europe and UK Retail Banking Actual, Europe and UK Retail Banking Predicted,,,,,,,,Box Actual,Box Cox Predicted,Box Cox diff predicted,Date,  Europe and UK Retail Banking Predicted ,  Europe and UK Retail Banking Actual ,,
52768049.03,52768049.03,,,,,,,,9.011831,9.011831,,1/1/02,"52,767,966","52,767,966",lambda,-0.08758738
42316530.86,42316530.86,,,,,,,,8.964877,8.964877,,1/4/02,"42,316,627","42,316,627",,
42439751.02,42439751.02,,,,,,,,8.965501,8.965501,,1/7/02,"42,439,758","42,439,758",,
210960651.4,210960651.4,,,,,,,,9.286759,9.286759,,1/10/02,"210,961,147","210,961,147",,
75680632.37,75680632.37,,,,,,,,9.086618,9.086618,,1/1/03,"75,680,734","75,680,734",,
85720082.36,85720082.36,,,,,,,,9.111907,9.111907,,1/4/03,"85,720,267","85,720,267",,
59305661.06,59305661.06,,,,,,,,9.036313,9.036313,,1/7/03,"59,305,726","59,305,726",,
144728229.8,144728229.8,,,,,,,,9.215273,9.215273,,1/10/03,"144,728,240","144,728,240",,
230833514.2,230833514.2,,,,,,,,9.303491,9.303491,,1/1/04,"230,833,596","230,833,596",,
92925759.61,92925759.61,,,,,,,,9.128146,9.128146,,1/4/04,"92,925,681","92,925,681",,
77516119.22,77516119.22,,,,,,,,9.091504,9.091504,,1/7/04,"77,516,036","77,516,036",,
223713579.8,223713579.8,,,,,,,,9.297683,9.297683,,1/10/04,"223,713,862","223,713,862",,
122889093.9,122889093.9,,,,,,,,9.183499,9.183499,,1/1/05,"122,889,081","122,889,081",,
89522846.28,89522846.28,,,,,,,,9.120654,9.120654,,1/4/05,"89,522,729","89,522,729",,
241308438.9,241308438.9,,,,,,,,9.311691,9.311691,,1/7/05,"241,308,463","241,308,463",,
209893743,209893743,,,,,,,,9.285812,9.285812,,1/10/05,"209,893,446","209,893,446",,
177904923.5,177904923.5,,,,,,,,9.25472,9.25472,,1/1/06,"177,905,196","177,905,196",,
219278135,219278135,,,,,,,,9.293962,9.293962,,1/4/06,"219,278,206","219,278,206",,
140110079.4,140110079.4,,,,,,,,9.20901,9.20901,,1/7/06,"140,110,202","140,110,202",,
205701198.6,205701198.6,,,,,,,,9.282042,9.282042,,1/10/06,"205,700,836","205,700,836",,
197924947.2,197924947.2,,,,,,,,9.274824,9.274824,,1/1/07,"197,925,588","197,925,588",,
207248807.8,207248807.8,,,,,,,,9.283444,9.283444,,1/4/07,"207,249,263","207,249,263",,
136662073,136662073,,,,,,,,9.204186,9.204186,,1/7/07,"136,662,481","136,662,481",,
744461816.7,744461816.7,,,,,,,,9.509527,9.509527,,1/10/07,"744,460,764","744,460,764",,
507171632.1,507171632.1,,,,,,,,9.444308,9.444308,,1/1/08,"507,172,435","507,172,435",,
556822265.2,556822265.2,,,,,,,,9.460381,9.460381,,1/4/08,"556,823,467","556,823,467",,
540281877.2,540281877.2,,,,,,,,9.455206,9.455206,,1/7/08,"540,283,402","540,283,402",,
587184397.8,587184397.8,,,,,,,,9.469459,9.469459,,1/10/08,"587,184,108","587,184,108",,
1140945628,1140945628,,,,,,,,9.579547,9.579547,,1/1/09,"1,140,944,414","1,140,944,414",,
303678860.9,303678860.9,,,,,,,,9.353663,9.353663,,1/4/09,"303,679,404","303,679,404",,
348953526.9,348953526.9,,,,,,,,9.378627,9.378627,,1/7/09,"348,953,291","348,953,291",,
4110626021,4110626021,,,,,,,,9.774685,9.774685,,1/10/09,"4,110,632,952","4,110,632,952",,
497675779,497675779,,,,,,,,9.441039,9.441039,,1/1/10,"497,675,693","497,675,693",,
543741516.7,543741516.7,,,,,,,,9.456302,9.456302,,1/4/10,"543,741,259","543,741,259",,
309505310.8,309505310.8,,,,,,,,9.357095,9.357095,,1/7/10,"309,505,934","309,505,934",,
1237607878,1237607878,,,,,,,,9.59259,9.59259,,1/10/10,"1,237,609,381","1,237,609,381",,
331335113.4,331335113.4,,,,,,,,9.369356,9.369356,,1/1/11,"331,335,727","331,335,727",,
401571641.7,401571641.7,,,,,,,,9.403551,9.403551,,1/4/11,"401,572,904","401,572,904",,
570004986,570004986,,,,,,,,9.464387,9.464387,,1/7/11,"570,005,383","570,005,383",,
1522684371,1522684371,,,,,,,,9.625419,9.625419,,1/10/11,"1,522,687,869","1,522,687,869",,
691019139.5,691019139.5,,,,,,,,9.49704,9.49704,,1/1/12,"691,020,484","691,020,484",,
735726431.7,735726431.7,,,,,,,,9.507554,9.507554,,1/4/12,"735,726,115","735,726,115",,
536160849.5,536160849.5,,,,,,,,9.453889,9.453889,,1/7/12,"536,159,897","536,159,897",,
841134363.6,841134363.6,,,,,,,,9.529818,9.529818,,1/10/12,"841,134,428","841,134,428",,
699835227.9,699835227.9,,,,,,,,9.499171,9.499171,,1/1/13,"699,837,045","699,837,045",,
623532484.4,623532484.4,,,,,,,,9.479679,9.479679,,1/4/13,"623,534,530","623,534,530",,
445902094.5,445902094.5,,,,,,,,9.421934,9.421934,,1/7/13,"445,901,891","445,901,891",,
603432100,603432100,,,,,,,,9.47411,9.47411,,1/10/13,"603,432,649","603,432,649",,
519865777.9,,,,,,,,,9.448575,9.532462376,0.058352376,1/1/14,"854,707,536","519,866,162",,
1529410436,,,,,,,,,9.62611,9.497418136,-0.03504424,1/4/14,"692,576,084","1,529,408,502",,
549341672.5,,,,,,,,,9.458061,9.487672831,-0.009745305,1/7/14,"653,673,061","549,341,284",,
927215708.6,,,,,,,,,9.545856,9.63520557,0.147532739,1/10/14,"1,620,944,152","927,214,407",,
1025328309,,,,,,,,,9.56227,9.577909234,-0.057296336,1/1/15,"1,129,398,768","1,025,331,157",,
1094794617,,,,,,,,,9.572889,9.57463007,-0.003279164,1/4/15,"1,106,661,929","1,094,792,545",,
584958487.8,,,,,,,,,9.468811,9.541501165,-0.033128905,1/7/15,"902,931,046","584,958,305",,
2370070930,,,,,,,,,9.693526,9.667863117,0.126361952,1/10/15,"2,002,084,840","2,370,078,994",,
