Description,    Barclays PLC,    Deutsche Bank AG,    HSBC Holdings PLC,    UBS Group AG
2008 Q4,31458.52,36625,86801.4,29963.86
2009 Q1,,35720,,30712.64
2009 Q2,36499.69,35717,86202.14,30168.1
2009 Q3,,34950,,29648.55
2009 Q4,34505.63,31593,87850.12,31118.9
2010 Q1,,33092,,34476.58
2010 Q2,37790.21,34177,102715.18,37129.71
2010 Q3,,33571,,38887.61
2010 Q4,37465.76,37326,92445.76,41616.64
2011 Q1,,36960,,38448.04
2011 Q2,39786.59,36376,85157.13,40551.93
2011 Q3,,36697,,40563.84
2011 Q4,42769.42,50695,95953.7,48388.27
2012 Q1,,51718,,44859.12
2012 Q2,52646.45,51832,98297.37,44565.5
2012 Q3,,51709,96579.68,44142.99
2012 Q4,66688.57,51595,92645.3,44140.1
2013 Q1,,52503,95377.17,44635.4
2013 Q2,63417.37,49248,90936.56,44782.07
2013 Q3,64955.65,49536,86768.16,45189.2
2013 Q4,65248.82,50891,86445.72,63610.22
2014 Q1,68676.5,50349,85971.54,64054.12
2014 Q2,70810.28,58193,86267.35,68344.26
2014 Q3,,63064,93514.93,63034.41
2014 Q4,72960.29,67082,97355.37,63805.74
2015 Q1,,75517,109806.11,75698.06
2015 Q2,79886.89,80332,105621.81,71618.36
2015 Q3,,86871,105347.88,68798.93
2015 Q4,76829.42,89923,106202.83,69093.98
2016 Q1,71660.14,97724,101397.07,70556.49
2016 Q2,67891.71,96345,104217.47,70691.67
2016 Q3,65450.68,96132,92981.83,71287.1
2016 Q4,66319.11,92675,92917.42,72517.75
2017 Q1,66432.62,97231,91614.47,74233.84
2017 Q2,64578.4,98102,85866.99,69569.79
2017 Q3,64302.36,99643,83029.74,67271.03
2017 Q4,63738.97,91610,77108.63,66045.58
2018 Q1,64506.08,93025,75200.78,64411.45
2018 Q2,64066.1,93489,79386.83,67996.92
2018 Q3,63671.55,90846,79817.46,68365.77
2018 Q4,63106.72,91989,79549.42,67761.09
2019 Q1,65653.96,85633,81187.06,71562.25
2019 Q2,63368.83,84195,80200.72,70692.84
2019 Q3,47906.54,78540,83554.98,73557.74
2019 Q4,48426.66,72662,82643.16,69017.72
2020 Q1,46224.39,72202,81305.26,70640.78
2020 Q2,45036.97,71310,79694.03,68931.78
2020 Q3,45053.02,69564,77973.04,66115
2020 Q4,45668.6,68899,77137.01,62004.09
2021 Q1,48122.66,66059,79744.68,64510.64
2021 Q2,47720.58,66816,79837.96,63971.64
2021 Q3,47666.67,64613,80978.31,65508.6
2021 Q4,49626.35,61718,78078.34,67363.43
2022 Q1,49524.38,60369,79137.34,71106.3
2022 Q2,48520.98,59373,80511.3,77172.57
2022 Q3,47488.38,58467,82737.49,82635.34
2022 Q4,49488.74,58349,80197.93,75996.64
2023 Q1,49833.93,58937,79952.16,74891.89
2023 Q2,51088.78,58488,80051.29,133174.57
