DATE,Barclays Bank PLC UK,UBS Group AG,EMPUKQ,GBMT10UK,NGDPMPUKQ,RGDPMRPUKQ,SPPUKQ,eurogdppercapita,euroLabourproductivity,euryield,euroCreditGDP,CPIUK,Eurooutputgap,UnemplymentEURO,GBPUSDFX,Bankconc,longterminterest,UKhouseindex,depositrate,marginallending,refinacning rate,Europe and UK Commercial Banking, Europe and UK Retail Banking 
2008 Q4,36625,29963.86,29528,4.19,384818,-2.26,2134.04,6440,98.083,2.54001,157.2,97.791284,2.292,7.667,1.57,63.01719,4.093333333,64.5,2.793478261,3.880434783,3.375,1376017748,587184397.8
2009 Q1,33895.1328,30712.64,29366,3.62,378609,-1.63,2030.87,5790,95.946,1.17763,159.8,97.84996879,0.999,8.169,1.43,61.5248,3.94,62.07666667,1.105555556,2.883333333,1.994444444,1401713581,1140945628
2009 Q2,27783.32239,30168.1,29087,3.67,377963,-0.23,2176.7,5980,96.503,0.95705,162.1,98.26823807,-0.294,8.671,1.55,60.03241,4.023333333,61.97,0.269230769,2,1.134615385,1059522751,303678860.9
2009 Q3,29195.30187,29648.55,29069,3.83,380205,0.07,2419.52,5980,97.448,0.74685,163.4,98.93059122,-1.587,9.173,1.64,58.54002,3.84,65.31666667,0.25,1.75,1,791902957.6,348953526.9
2009 Q4,41510.45501,31118.9,29102,3.85,382682,0.41,2679.85,6310,98.22,0.7859,164.7,99.3944627,-2.88,9.675,1.63,57.04763,3.716666667,66.67,0.25,1.75,1,1918690152,4110626021
2010 Q1,33833.49773,34476.58,29013,4.21,387526,0.55,2774.25,5920,98.912,0.64625,164.7,100.1125103,-2.55925,9.81675,1.56,56.98981,3.726666667,69.42,0.25,1.75,1,781893656.3,497675779
2010 Q2,35270.14833,37129.71,29192,3.96,393419,1.01,2762.49,6210,99.825,0.46477,165.1,100.7539313,-2.2385,9.9585,1.49,56.93199,3.616666667,70.19,0.25,1.75,1,727769539.5,543741516.7
2010 Q3,29965.03168,38887.61,29385,3.39,394272,0.56,2744.8,6210,100.369,0.51988,163.9,101.2753662,-1.91775,10.10025,1.55,56.87417,3.45,72.28,0.25,1.75,1,556857769.3,309505310.8
2010 Q4,39909.73513,41616.64,29324,3.44,397222,0.12,2980.52,6550,100.893,0.73904,164.6,102.1182592,-1.597,10.242,1.58,56.81635,3.753333333,70.64333333,0.25,1.75,1,787418948.9,1237607878
2011 Q1,28645.837,38448.04,29441,3.89,406938,0.56,3087.62,6210,101.728,1.01401,163,103.6059373,-1.3885,10.25225,1.6,56.9593025,4.28,71.18666667,0.25,1.75,1,694409345.5,331335113.4
